CUSIP,MASTER_DEAL_NO,NINAMES,PRINCIPALAMOUNT,EXCHANGE,INDUSTRY,MKTVALUEPF,industry_code,year,fees,offer_price
043136,2183795022,ArthroCare Corp,171.1,Nasdaq,Manufacturing,795.3,3,2014,,
337915,2184045002,FirstMerit Corp,315,Nasdaq,Commercial Bank,2047.5,6,2014,4.25,19
76120W,2184282002,Resource Capital Corp,39.375,New York,REIT,676.5,6,2014,5.5,5.25
245073,2184471002,Del Global Technologies Corp,15,Nasdaq,Manufacturing,28.6,3,2014,,0.6
42726M,2184628002,Heritage-Crystal Clean Inc,24,Nasdaq,Sanitation,110.4,4,2014,6,8
929566,2185056002,Wabash National Corp,157.625,New York,Manufacturing,359.8,3,2014,4.5,6.5
12738A,2185082022,Cadence Financial Corp,80,Nasdaq,Commercial Bank,100.8,6,2014,,
559091,2185119009,Magellan Petroleum Corp,15.6,Nasdaq,Natural Resource,172.6,1,2014,,3
859319,2186089012,Sterling Financial Corp,44.727,Nasdaq,S&L/Thrift,55.2,6,2014,,0.2
717098,2186164002,PFSweb Inc,7,Nasdaq,Pers/Bus/Rep Svc,41.8,7,2014,6,3.5
252784,2186181002,DiamondRock Hospitality Co,168,New York,REIT,1270.9,6,2014,4.25,8.4
316394,2186470034,Fidelity Southern Corp,57.5,Nasdaq,Commercial Bank,81.2,6,2014,,
439734,2186562002,HopFed Bancorp Inc,30,Nasdaq,S&L/Thrift,62.4,6,2014,5,9
172967,2186864002,Citigroup Inc,6199.995,New York,Commercial Bank,118296.9,6,2014,,4.133
03252Q,2186876002,Anadys Pharmaceuticals Inc,12.5,Nasdaq,Manufacturing,92.9,2,2014,6.38,2.15
98973P,2186931002,ZIOPHARM Oncology Inc,35,Nasdaq,Healthcare,244.2,8,2014,6,5
88043P,2187184002,Tennessee Commerce Bancorp Inc,23,Nasdaq,Commercial Bank,45.6,6,2014,6,4
98976E,2187580002,Zoom Technologies Inc,1,Nasdaq,Manufacturing,77.7,3,2014,4,6
55277J,2188356002,MF Global Holdings Ltd,160,New York,Investment Bank,1024.9,6,2014,5,7.1
410495,2188376012,Hanmi Financial Corp,210,Nasdaq,Commercial Bank,271.4,6,2014,,1.2
253868,2188788002,Digital Realty Trust Inc,342,New York,REIT,4836.3,6,2014,4,57
247907,2188798022,Delta Petroleum Corp,12.719,Nasdaq,Natural Resource,330.8,1,2014,,
596680,2188902002,Middlesex Water Co,25.857,Nasdaq,Water Supply,232.6,4,2014,3.945,15.21
101388,2189194002,Bottomline Technologies Inc,60.9,Nasdaq,Pers/Bus/Rep Svc,456.7,7,2014,4.966,14.5
064058,2189213002,Bk of NY Mellon Corp,700,New York,Commercial Bank,32749.4,6,2014,3,27
90384S,2189273002,Ulta Salon Cosmetic &,199.718,Nasdaq,Retail,1303.8,5,2014,4,22.25
33610T,2189535034,First Place Financial Corp,80,Nasdaq,S&L/Thrift,78.4,6,2014,,
101119,2189618002,Boston Private Financial Hldg,25.01,Nasdaq,Commercial Bank,452.2,6,2014,5.25,6.1
804748,2189965002,"Savannah Bancorp,Savannah,GA",10.435,Nasdaq,Commercial Bank,66.8,6,2014,5,9.5
18725U,2190392002,Clinical Data Inc,27.822,Nasdaq,Manufacturing,420.3,2,2014,5.75,14.3
15189T,2190393002,CenterPoint Energy Inc,283.8,New York,Electric Service,5384.2,4,2014,3.5,12.9
302633,2190398002,FSI International Inc,16.47,Nasdaq,Wholesale,114.8,5,2014,6,3.05
126128,2190853002,CNB Financial Corp,30,Nasdaq,Commercial Bank,120.3,6,2014,6,10.25
49375T,2191313002,Kid Brands Inc,31.898,New York,Manufacturing,156.2,3,2014,4,7.25
78112T,2191690002,Rubicon Technology Inc,79.02,Nasdaq,Manufacturing,664.7,3,2014,5.3,30
410495,2191768002,Hanmi Financial Corp,60,Nasdaq,Commercial Bank,181.4,6,2014,,1.2
534187,2192073002,Lincoln National Corp,335,New York,Insurance,8578.3,6,2014,4.25,27.25
55277Q,2192148002,MAM Software Group Inc,3.349,Nasdaq,Pers/Bus/Rep Svc,8.9,7,2014,,0.065
Y2692M,2192195002,General Maritime Corp,206.55,New York,Transportation,600.1,4,2014,5,6.75
644461,2192261002,New Generations Hldgs Inc,0.5,Nasdaq,Manufacturing,16.9,2,2014,6.667,0.45
639067,2192509022,Naugatuck Valley Finl Corp,35.65,Nasdaq,S&L/Thrift,56.2,6,2014,,
55302L,2192539022,MHI Hospitality Corp,125,Nasdaq,REIT,125,6,2014,,
31678A,2192548002,Fifth Street Finance Corp,92,New York,Other Finance,612.7,6,2014,4.5,11.5
092533,2192932002,BlackRock Kelso Capital Corp,76.875,Nasdaq,Other Finance,668.6,6,2014,4.5,10.25
716933,2192973002,Pharmacyclics Inc,52.438,Nasdaq,Manufacturing,383.4,2,2014,,6.51
264411,2193000002,Duke Realty Corp,270.25,New York,REIT,2913.7,6,2014,4,11.75
834223,2193406012,Soligenix Inc,5.16,Nasdaq,Manufacturing,9,2,2014,,0.205
06652V,2193434002,Banner Corp,150,Nasdaq,Commercial Bank,198.9,6,2014,5,2
40414L,2193437002,HCP Inc,445.5,New York,REIT,10164,6,2014,4,33
916901,2193569002,Uranium Resources Inc,10,Nasdaq,Natural Resource,35.4,1,2014,6,0.42
15117N,2193821022,Celsion Corp,8.409,Nasdaq,Manufacturing,3,2,2014,,
155792,2193972034,Central Virginia Bankshares,15,Nasdaq,Commercial Bank,2.2,6,2014,,
69351T,2194144002,PPL Corp,2160,New York,Electric Service,11248.5,4,2014,3,24
780287,2194519009,Royal Gold Inc,252.2,Nasdaq,Other Finance,2560,6,2014,4.495,48.5
42733R,2194695002,Heritage Financial Group Inc,65.918,Nasdaq,Commercial Bank,87.1,6,2014,,10
754055,2194707002,Raser Technologies Inc,0.75,New York,Electric Service,53.4,4,2014,,0.587
16934Q,2195106002,Chimera Investment Corp,365,New York,REIT,3168.7,6,2014,,3.65
23281A,2195235002,Cypress Sharpridge Invest Inc,118.75,New York,REIT,334.6,6,2014,4.75,12.5
35952H,2195759002,FuelCell Energy Inc,30,Nasdaq,Manufacturing,136.6,3,2014,6,1.25
87164C,2195773002,Synutra International Inc,62.7,Nasdaq,Manufacturing,1088.7,2,2014,5,19
218352,2196132002,Corcept Therapeutics Inc,15,Nasdaq,Manufacturing,216.1,2,2014,6,3
464592,2196550022,Isle of Capri Casinos Inc,111.69,Nasdaq,Leisure,514.3,7,2014,,
55277R,2197356002,Mela Sciences Inc,16.5,Nasdaq,Manufacturing,189.2,3,2014,6.5,7.5
754055,2198107022,Raser Technologies Inc,35.282,New York,Electric Service,76.1,4,2014,,
85857R,2198162002,StemCells Inc,6.055,Nasdaq,Manufacturing,110,2,2014,4.497,0.865
172967,2198303002,Citigroup Inc,4136,New York,Commercial Bank,108947.6,6,2014,,3.76
266605,2198653022,DURECT Corp,50,Nasdaq,Pers/Bus/Rep Svc,50,8,2014,,
867931,2198701002,Superconductor Technologies,6,Nasdaq,Manufacturing,40,3,2014,7,1.5
72202B,2199348022,PIMCO Income Opportunity Fund,1,New York,Investment Fund,1,6,2014,,
238134,2199682012,DATATRAK International Inc,0.19,Nasdaq,Pers/Bus/Rep Svc,7.5,7,2014,,0.53
638620,2199689002,Nationwide Health Properties,45.151,New York,REIT,4306.8,6,2014,,35.58
638620,2199690002,Nationwide Health Properties,55.847,New York,REIT,4246.3,6,2014,,35.08
453838,2200266034,Independent Bank Corp,110,Nasdaq,Commercial Bank,26.3,6,2014,,
09064X,2201493002,BioMimetic Therapeutics Inc,42.5,Nasdaq,Manufacturing,230.6,3,2014,6,8.5
70509V,2201520002,Pebblebrook Hotel Trust,289,New York,REIT,634.9,6,2014,4,17
035710,2201584002,Annaly Capital Management Inc,1047.6,New York,REIT,10821.3,6,2014,,17.46
231631,2201878002,Cushing MLP Total,60.6,New York,Investment Fund,199.8,6,2014,5,8.08
33731L,2201904002,First Trust Act Div Income,5.094,New York,Investment Fund,,6,2014,,10.246
48023P,2202051022,Jones Soda Co,1.098,Nasdaq,Manufacturing,33.6,2,2014,,
92778Q,2203119034,Virginia Commerce Bancorp Inc,75,Nasdaq,Commercial Bank,181.6,6,2014,,
037411,2203771002,Apache Corp,2024,New York,Natural Resource,31750.6,1,2014,3,88
Y2685T,2204132002,Genco Shipping & Trading Ltd,50,New York,Transportation,560.9,4,2014,4.5,16
15201P,2204336002,CenterState Banks Inc,30.6,Nasdaq,Commercial Bank,249.7,6,2014,5.75,8.5
917277,2204353002,Uroplasty Inc,14,Nasdaq,Manufacturing,69.6,3,2014,6,3.5
463664,2204587009,Irvine Sensors Corp,0.201,Nasdaq,Manufacturing,315.3,3,2014,13,12.825
53224K,2204965002,Lightbridge Corp,13.662,Nasdaq,Manufacturing,82,3,2014,6,6.6
410495,2204969002,Hanmi Financial Corp,60,Nasdaq,Commercial Bank,181.4,6,2014,,1.2
172967,2204985002,Citigroup Inc,6400.515,New York,Commercial Bank,123954.9,6,2014,,4.267
379302,2205436002,Glimcher Realty Trust,87.5,New York,REIT,531.5,6,2014,4.75,6.25
826917,2206199012,Siga Technologies Inc,5.5,Nasdaq,Manufacturing,139.1,2,2014,,3.06
21254S,2206420022,Converted Organics Inc,4.538,Nasdaq,Manufacturing,,2,2014,,
682143,2206963022,Omeros Corp,4,Nasdaq,Manufacturing,158.2,2,2014,,
139793,2207123034,"Capital Bank Corp,Raleigh,NC",61.065,Nasdaq,Commercial Bank,83.9,6,2014,,
195872,2207195002,Colonial Properties Trust Inc,33.119,New York,REIT,951.5,6,2014,,13.25
045327,2207206002,Aspen Technology Inc,162,Nasdaq,Pers/Bus/Rep Svc,836,7,2014,4.5,9
59156R,2207543002,MetLife Inc,3150,New York,Insurance,37606.7,6,2014,2.571,42
929328,2207585002,WSFS Financial Corp,43.8,Nasdaq,Commercial Bank,303.6,6,2014,5,36.5
319829,2207593002,First Commonwealth Finl Corp,74.981,New York,Commercial Bank,476,6,2014,5,4.65
98389B,2207763002,Xcel Energy Inc,408.5,New York,Electric Service,9889.7,4,2014,3,21.5
866933,2207992002,Sun Healthcare Group Inc,207.313,Nasdaq,Healthcare,548.2,8,2014,5.252,7.75
502175,2208065002,LTC Properties Inc,48.659,New York,REIT,637.2,6,2014,0.753,24.7
60855R,2208547002,Molina Healthcare Inc,108,New York,Insurance,805.6,6,2014,5,27
38376A,2208657002,Govt Ppty Income Tr,200,New York,REIT,981.6,6,2014,4.25,25
502175,2208720022,LTC Properties Inc,75,New York,REIT,608.8,6,2014,,
486606,2208893002,Kayne Anderson MLP Inv Co,190.675,New York,Investment Fund,1772.5,6,2014,3.878,26.3
163893,2209238034,Chemtura Corp,100,New York,Manufacturing,3388.9,2,2014,,
040047,2209246002,Arena Pharmaceuticals Inc,60,Nasdaq,Pers/Bus/Rep Svc,812.7,8,2014,,6.7
14888U,2209249002,Catalyst Pharmaceutical,1.5,Nasdaq,Manufacturing,21.5,2,2014,,1.11
952145,2209255002,West Coast Bancorp,7.856,Nasdaq,Commercial Bank,278,6,2014,,2.801
635309,2209565002,National CineMedia Inc,171.2,Nasdaq,Pers/Bus/Rep Svc,848,7,2014,4,16
32054K,2209633002,First Industrial Realty Tr Inc,4.46,New York,REIT,563.1,6,2014,,8.128
749227,2209782022,RAIT Financial Trust,35.525,New York,REIT,165.1,6,2014,,
529898,2209992002,Libbey Inc,39.217,New York,Manufacturing,195.5,3,2014,5.5,10.25
617468,2210024002,Morgan Stanley China A Share,143.912,New York,Investment Fund,,6,2014,,26.45
23311P,2210130002,DCP Midstream Partners LP,84.682,New York,Oil/Gas Pipeline,1211.9,4,2014,4.176,32.57
56400P,2210365002,Mannkind Corp,118.38,Nasdaq,Pers/Bus/Rep Svc,857.8,8,2014,,6.504
01988P,2211504002,Allscripts-Misys Healthcare,460.35,Nasdaq,Pers/Bus/Rep Svc,3178.1,7,2014,3.963,17.05
024835,2211515002,Amer Campus Communities Inc,324,New York,REIT,1753.4,6,2014,4,27
56400P,2211552002,Mannkind Corp,49.95,Nasdaq,Pers/Bus/Rep Svc,680.8,8,2014,,5.55
56035L,2211601002,Main Street Capital Corp,42,Nasdaq,Other Finance,279.1,6,2014,4.75,15
14161H,2211895002,Cardtronics Inc,98,Nasdaq,Pers/Bus/Rep Svc,588.4,7,2014,3.85,14
24661P,2211909002,Delcath Systems Inc,33.754,Nasdaq,Manufacturing,279.1,3,2014,,6.51
644461,2211973002,New Generations Hldgs Inc,1,Nasdaq,Manufacturing,8.7,2,2014,5,0.2
594960,2212131022,Microvision Inc,41.053,Nasdaq,Manufacturing,246.3,3,2014,,
31647Q,2212252002,Fiduciary/Claymore MLP,82.28,New York,Investment Fund,469.9,6,2014,4.184,19.36
708062,2212258002,Pennantpark Investment Corp,40.6,Nasdaq,Investment Fund,367,6,2014,5,10.15
957638,2212429002,"Western Alliance Bancorp,NV",43.75,New York,Commercial Bank,509.2,6,2014,4.5,6.25
989701,2212509002,Zions Bancorp,193.562,Nasdaq,Commercial Bank,3797.9,6,2014,,20.34
G0129K,2212627002,Aircastle Ltd,33.345,New York,Pers/Bus/Rep Svc,679.5,7,2014,,8.55
00448Q,2212833009,Achillion Pharmaceuticals Inc,49.19,Nasdaq,Manufacturing,145.2,2,2014,,2.49
3623E0,2217900002,GT Solar International Inc,81.29,Nasdaq,Manufacturing,1108.2,3,2014,4,7.39
3623E0,2217903002,GT Solar International Inc,96.718,Nasdaq,Manufacturing,1036,3,2014,,6.908
75025N,2217907002,Radiant Systems Inc,79.795,Nasdaq,Pers/Bus/Rep Svc,655.9,7,2014,5,17
29267A,2217938002,Ener1 Inc,3.113,Nasdaq,Manufacturing,491.4,3,2014,4,3.24
902653,2217966002,Udr Inc,325.6,New York,REIT,3653,6,2014,4,20.35
40637H,2218387002,Halozyme Therapeutics Inc,62.25,Nasdaq,Manufacturing,752.4,2,2014,3.333,7.5
65473P,2218395002,NiSource Inc,348.15,New York,Electric Service,4590.2,4,2014,3.25,16.5
74348T,2218407002,Prospect Capital Corp,37.039,Nasdaq,Other Finance,707.9,6,2014,,9.71
904572,2218753002,Uni-Pixel Inc,15,Nasdaq,Manufacturing,32.4,3,2014,10,5
87264S,2219004002,TRW Automotive Holdings Corp,284,New York,Manufacturing,4255.6,3,2014,,35.5
854305,2219106002,Stanley Furniture Co Inc,12,Nasdaq,Manufacturing,41,2,2014,,3
981475,2219511002,World Fuel Services Corp,200,New York,Wholesale,1677.1,5,2014,4.5,25
929566,2219542002,Wabash National Corp,63.106,New York,Manufacturing,461.1,3,2014,2.778,6.75
902748,2219642002,UIL Holdings Corp,455.775,New York,Electric Service,1230.2,4,2014,4.25,25.75
50077C,2219947002,Kraton Performance Polymers,212,New York,Manufacturing,826.7,2,2014,4.5,26.5
25389M,2219964002,DigitalGlobe Inc,181.527,New York,Radio/TV/Telecom,1386.4,4,2014,4.75,30.25
337930,2220457002,Flagstar Bancorp Inc,110,New York,S&L/Thrift,263.6,6,2014,5,1
62936P,2220619002,NPS Pharmaceuticals Inc,41.28,Nasdaq,Manufacturing,395.2,2,2014,6,6
989837,2221231022,Zweig Total Return Fund Inc,110.035,New York,Investment Fund,,6,2014,,
437306,2221250002,Home Properties Inc,147.2,New York,REIT,1821.3,6,2014,,46.308
591650,2221259009,MetroCorp Bancshares Inc,2.862,Nasdaq,Commercial Bank,,6,2014,,3
760911,2221332002,Research Frontiers Inc,4.006,Nasdaq,Other Finance,111.2,6,2014,,6.25
84649R,2221418002,Spansion Inc,114.75,New York,Manufacturing,1122.4,3,2014,5,17
23281A,2221836002,Cypress Sharpridge Invest Inc,168.35,New York,REIT,553.1,6,2014,4.5,12.95
895848,2221867002,Barings BDC Inc,37.92,New York,Other Finance,228.7,6,2014,4.747,15.8
41902R,2221990002,Hatteras Financial Corp,186.875,New York,REIT,1296.9,6,2014,4.25,28.75
45685K,2222010002,InfuSystem Holdings Inc,5.718,New York,Manufacturing,40.7,3,2014,6,2.05
42217K,2222098002,Health Care REIT Inc,366,New York,REIT,6061.8,6,2014,4,45.75
203233,2222133002,CommonWealth REIT,200.625,New York,REIT,1928.6,6,2014,4.25,26.75
976391,2222194002,Winthrop Realty Trust,61.25,New York,REIT,321.3,6,2014,5,12.25
165240,2222199002,Chesapeake Lodging Trust,128.375,New York,REIT,280.3,6,2014,4.5,16.25
015271,2222273002,Alexandria RE Equities Inc,311.625,New York,REIT,3820.6,6,2014,4.25,69.25
151408,2222612002,"Center Bancorp Inc,Union,NJ",10.01,Nasdaq,Commercial Bank,114,6,2014,5.571,7
151408,2222614002,"Center Bancorp Inc,Union,NJ",2.138,Nasdaq,Commercial Bank,122.2,6,2014,,7.5
09063H,2222653002,BioMed Realty Trust Inc,262.5,New York,REIT,2223.9,6,2014,4,17.5
756109,2222811002,Realty Income Corp,180.026,New York,REIT,3670.3,6,2014,4.76,33.4
925602,2223059002,Vical Inc,33.75,Nasdaq,Manufacturing,160.3,2,2014,6,2.25
644461,2223065002,New Generations Hldgs Inc,0.462,Nasdaq,Manufacturing,8.5,2,2014,,0.13
682875,2223458022,Onstream Media Corp,,Nasdaq,Pers/Bus/Rep Svc,,7,2014,,
92778Q,2223466002,Virginia Commerce Bancorp Inc,10,Nasdaq,Commercial Bank,151.5,6,2014,5,5.25
760911,2223951002,Research Frontiers Inc,0.825,Nasdaq,Other Finance,76.4,6,2014,,4.25
29384R,2224124002,Entropic Communications Inc,104.275,Nasdaq,Manufacturing,807.5,3,2014,4.5,9.7
911163,2224142002,United Natural Foods Inc,127.05,New York,Wholesale,1564.3,5,2014,5,33
02503X,2224179002,American Capital Agency Corp,299,Nasdaq,REIT,1273.1,6,2014,4.5,26
045604,2224197002,Associated Estates Realty Corp,108.8,New York,REIT,546.3,6,2014,4.25,13.6
209115,2224436002,Consolidated Edison Inc,306.495,New York,Electric Service,14112.3,4,2014,0.185,48.65
163428,2224498002,Chelsea Therapeutics Intl Ltd,35,Nasdaq,Manufacturing,235.2,2,2014,5.9179,4.9
56509R,2225053002,MAP Pharmaceuticals Inc,43.5,Nasdaq,Manufacturing,430.3,2,2014,5,14.5
746228,2225072002,Pure Cycle Corp,5.772,Nasdaq,Water Supply,66.4,4,2014,,3
090643,2226511002,Bionovo Inc,3,Nasdaq,Manufacturing,27,2,2014,,1.1
03842K,2227123009,AquaBounty Technologies Inc,5.052,Nasdaq,Agriculture,5.5,0,2014,,0.18
50077B,2227255002,Kratos Defense & Security Soln,23.46,Nasdaq,Manufacturing,186.9,3,2014,4,10.2
69404P,2227412002,"Pacific Capital Bancorp,CA",76.437,Nasdaq,Commercial Bank,727,6,2014,,0.2
46131B,2227788002,Invesco Mortgage Capital Inc,249,New York,REIT,789.5,6,2014,4,20.75
644461,2227893002,New Generations Hldgs Inc,0.6,Nasdaq,Manufacturing,8.5,2,2014,7.692,0.13
75886F,2227908002,Regeneron Pharmaceuticals Inc,154,Nasdaq,Manufacturing,2394.2,2,2014,0.179,28
86183P,2227910002,Stoneridge Inc,95.098,New York,Manufacturing,273.5,3,2014,5,10.75
23283K,2228038002,Cytori Therapeutics Inc,18,Nasdaq,Manufacturing,224.6,3,2014,6,4.5
55261F,2228198002,M&T Bank Corp,2069.25,New York,Commercial Bank,11319.9,6,2014,0.75,77.5
50105F,2228321002,Kronos Worldwide Inc,312,New York,Manufacturing,2271.1,2,2014,5.75,40
640518,2228411022,Neoprobe Corp,,Nasdaq,Manufacturing,,3,2014,,
552953,2229051002,MGM Resorts International,868.827,New York,Restaurant/Hotel,6101.9,7,2014,1.028,12.65
185385,2229376022,Clearwire Corp,67.5,Nasdaq,Radio/TV/Telecom,6727.6,4,2014,,
254668,2229571022,Discovery Laboratories Inc,0.5,Nasdaq,Manufacturing,,2,2014,,
82620P,2229829002,"Sierra Bancorp,Porterville,CA",23.25,Nasdaq,Commercial Bank,139.8,6,2014,4.5,10
03252Q,2229866002,Anadys Pharmaceuticals Inc,25,Nasdaq,Manufacturing,102.8,2,2014,5.75,1.8
370023,2230367002,General Growth Properties Inc,1991.25,New York,REIT,13820.9,6,2014,3.729,14.75
092533,2230739002,BlackRock Kelso Capital Corp,71.7,Nasdaq,Other Finance,865.3,6,2014,4.5,11.95
803893,2230752002,Satcon Technology Corp,35.1,Nasdaq,Manufacturing,450.5,3,2014,6,3.9
00846F,2231211002,Cavico Corp,1.8,Nasdaq,Construction,9.1,1,2014,7,2.4
172967,2231484002,Citigroup Inc,10505.208,New York,Commercial Bank,116671.6,6,2014,,4.027
172967,2231491002,Citigroup Inc,5863.485,New York,Commercial Bank,113554.6,6,2014,,3.909
426927,2232399022,Heritage Commerce Corp,6.75,Nasdaq,Commercial Bank,105.1,6,2014,,
04033A,2232784002,ARIAD Pharmaceuticals Inc,59.2,Nasdaq,Manufacturing,469.3,2,2014,2.432,3.7
743410,2232786002,ProLogis,984,New York,REIT,6851.2,6,2014,3.9,12.3
018921,2232809022,Alliance Bancorp Inc of PA,35.65,Nasdaq,Other Finance,102.6,6,2014,,
40052B,2233234002,GTx Inc,40,Nasdaq,Manufacturing,142,2,2014,5,2.8
